ID,FIRST_NAME,LAST_NAME,STREET_ADDRESS,STATE,CITY,ZIP,PHONE_NUMBER,EMAIL,SSN,BIRTHDATE,JOB,CREDITCARD,COMPANY,OPTIN
1.0,Nathaniel,Evans,270 Tampa Drive,HI,Flossmoor,56148,3010882996,gallen@example.org,416-20-3131,8/7/97,Health visitor,683670572624074,Hunt Ltd,Y
2.0,Christopher,Moore,61 Callahan Way,MN,North Bonneville,04691,087.688.9624x71308,garciamaria@example.net,124-88-6827,1/24/03,Educational psychologist,704312806139877,Harvey LLC,N
2.0,Daniel,Fox,6401 Green Meadow Lane,CO,Lake Havasu City,33047,016-500-4704x217,utorres@example.net,624-57-3246,9/11/02,Air cabin crew,269001319762864,Davis-Martin,Y
3.0,Connie,Richardson,2456 22nd Avenue,NM,Baudette,27332,348-992-0738x398,wsalazar@example.org,401-71-5806,1/16/81,Podiatrist,889058775378460,Galvan Ltd,N
3.0,Brandi,Richards,2708 Riverview Drive,ID,Laurium,17053,001-800-802-5197x6800,sean42@example.com,233-65-7556,2/10/89,Insurance risk surveyor,562219805290232,Burke- Hall and Skinner,N
4.0,Margaret,Hines,31 Hills Point Road,NC,Thiensville,72309,+1-304-489-3220x2291,isaiahweaver@example.net,334-74-8155,12/3/73,Art gallery manager,390841904116345,Johnson- Gamble and Olson,N
5.0,Johnny,Contreras,1276 Bending Creek Drive,WY,La Marque,46675,(130)833-4881x6865,larsonbrian@example.net,544-56-3506,6/3/77,Journalist- newspaper,10883313526797,Nicholson-Ramos,N
5.0,Edward,Mcknight,615 Florida Avenue,OH,Riley,52436,3771540355,ksims-example.org,274-34-0082,8/25/95,Herbalist,104941554765073,Gregory PLC,Y
5.0,Amy,Fuentes,12039 West 85th Drive,TX,Penhook,04093,001-368-929-7273x23977,sandramendez@example.net,584-70-5547,10/2/13,Risk analyst,882036161942278,Gonzales Inc,N
7.0,Brooke,Riley,12870 Old Seward Highway,PA,Wheeler,76696,355.282.6021x807,victoriaramos@example.net,239-49-4021,12/12/05,Tourism officer,235087049098290,Montoya- Schwartz and Cummings,Y
10.0,Holly,Johnson,3110 East Victory Drive,ND,Maben,86455,(960)995-9537x7421,emilypayne@example.net,068-09-6318,6/1/14,Media buyer,922696704967140,Koch- King and Perez,Y
10.0,Troy,Chambers,9036 Calico Court,LA,York Hamlet,17711,(525)171-8417x50100,romerothomas@example.com,882-44-2242,5/31/14,Surveyor- insurance,73907175460631,Ruiz-Hernandez,N
11.0,Andrew,Sanchez,1205 Southwest 128th Street,CO,Esbon,59696,656-503-3368x248,heather01@example.com,029-42-3092,9/19/16,Buyer- industrial,786321240851733,Cruz- Bishop and Bennett,N
11.0,Megan,Curtis,21 Glenoak Lane Northwest,UT,Naco,97901,+1-872-948-8455x53979,williamssarah@example.org,587-12-5048,7/25/23,Press photographer,998295453533812,Lee- Chandler and Brown,Y
